2018-03-23 13:12:07.499986	data	scale1	-77.3 g	8388627
2018-03-23 13:12:07.503673	data	scale1	-86.9 g	8395161
2018-03-23 13:12:09.227749	data	scale1	-66.3 g	8388608
2018-03-23 13:12:13.303450	data	scale1	-88.3 g	8388601
2018-03-23 13:12:17.385185	data	scale1	-88.3 g	8388614
2018-03-23 13:12:21.450497	data	scale1	-85.6 g	8388608
2018-03-23 13:12:25.510377	data	scale1	-86.9 g	8388608
2018-03-23 13:12:29.571938	data	scale1	-88.3 g	8388608
2018-03-23 13:12:33.630318	data	scale1	-88.3 g	8388608
2018-03-23 13:12:37.691882	data	scale1	-44.2 g	8388608
2018-03-23 13:12:41.785835	data	scale1	-88.7 g	8804761
2018-03-23 13:12:45.852579	data	scale1	-88.3 g	8388607
2018-03-23 13:12:49.941241	data	scale1	-88.3 g	8390246
2018-03-23 13:12:54.003325	data	scale1	-82.8 g	8808038
2018-03-23 13:12:58.068349	data	scale1	-88.3 g	8388604
2018-03-23 13:13:02.142653	data	scale1	-88.3 g	8390239
2018-03-23 13:13:06.206094	data	scale1	-88.3 g	8388806
2018-03-23 13:13:10.271600	data	scale1	-88.2 g	8388659
2018-03-23 13:13:14.356375	data	scale1	88.3 g	8808035
2018-03-23 13:13:18.409775	data	scale1	-87.6 g	8388608
2018-03-23 13:13:22.481491	data	scale1	-88.3 g	8388602
2018-03-23 13:13:26.559175	data	scale1	-88.3 g	8388611
2018-03-23 13:13:30.622828	data	scale1	-88.3 g	8388709
2018-03-23 13:13:34.687910	data	scale1	-88.2 g	8388608
2018-03-23 13:13:38.747982	data	scale1	-88.3 g	8388608
2018-03-23 13:13:42.808697	data	scale1	-88.3 g	8388608
2018-03-23 13:13:46.878184	data	scale1	-88.3 g	8598322
2018-03-23 13:13:50.940505	data	scale1	88.3 g	8388608
2018-03-23 13:13:55.000240	data	scale1	-88.3 g	8389426
2018-03-23 13:13:59.071820	data	scale1	-88.3 g	8389426
2018-03-23 13:14:03.122337	data	scale1	-88.0 g	8808038
2018-03-23 13:14:07.185206	data	scale1	-88.2 g	8388608
2018-03-23 13:14:11.246213	data	scale1	-87.6 g	8388608
2018-03-23 13:14:15.315502	data	scale1	265.0 g	8441036
2018-03-23 13:14:19.376428	data	scale1	-88.3 g	8598323
2018-03-23 13:14:23.440564	data	scale1	-71.8 g	8388608
2018-03-23 13:14:27.511115	data	scale1	-88.3 g	8389425
2018-03-23 13:14:31.574417	data	scale1	88.3 g	8388658
2018-03-23 13:14:35.636602	data	scale1	-88.3 g	8388608
2018-03-23 13:14:39.698299	data	scale1	-88.3 g	8388608
2018-03-23 13:14:43.768666	data	scale1	-88.3 g	8598321
2018-03-23 13:14:47.829323	data	scale1	-88.3 g	8388608
2018-03-23 13:14:51.893683	data	scale1	-88.3 g	8388608
2018-03-23 13:14:55.953187	data	scale1	-82.8 g	8391884
2018-03-23 13:15:00.024999	data	scale1	-86.9 g	8441036
2018-03-23 13:15:04.109246	data	scale1	-87.6 g	8388607
2018-03-23 13:15:08.185638	data	scale1	-88.3 g	8493452
2018-03-23 13:15:12.251177	data	scale1	-88.1 g	8388620
2018-03-23 13:15:16.342366	data	scale1	88.3 g	8388614
2018-03-23 13:15:20.409676	data	scale1	276.0 g	8388608
2018-03-23 13:15:24.483702	data	scale1	-82.8 g	8441011
2018-03-23 13:15:28.549450	data	scale1	-93.9 g	8388659
2018-03-23 13:15:32.624333	data	scale1	-87.0 g	8441023
2018-03-23 13:15:36.698276	data	scale1	-82.8 g	8388604
2018-03-23 13:15:40.765759	data	scale1	-88.3 g	8388608
2018-03-23 13:15:44.838539	data	scale1	-88.3 g	8390243
2018-03-23 13:15:48.905185	data	scale1	-88.3 g	8388609
2018-03-23 13:15:52.977846	data	scale1	-88.3 g	8388697
2018-03-23 13:15:57.052565	data	scale1	-66.2 g	8808025
2018-03-23 13:16:01.118482	data	scale1	353.3 g	8388595
2018-03-23 13:16:05.190802	data	scale1	-66.2 g	8441030
2018-03-23 13:16:09.257107	data	scale1	88.3 g	8388601
2018-03-23 13:16:13.330253	data	scale1	-44.2 g	8441030
2018-03-23 13:16:17.395143	data	scale1	-44.2 g	8388601
2018-03-23 13:16:21.468518	data	scale1	-87.0 g	8414809
2018-03-23 13:16:25.534233	data	scale1	265.0 g	8388595
2018-03-23 13:16:29.606700	data	scale1	265.0 g	8401708
2018-03-23 13:16:33.674248	data	scale1	265.0 g	8388608
2018-03-23 13:16:37.747069	data	scale1	265.0 g	8808025
2018-03-23 13:16:41.821013	data	scale1	-88.3 g	8388601
2018-03-23 13:16:45.888556	data	scale1	88.3 g	8388608
2018-03-23 13:16:49.961299	data	scale1	-88.3 g	8388646
2018-03-23 13:16:54.036852	data	scale1	-88.3 g	8389004
2018-03-23 13:16:58.115164	data	scale1	-44.2 g	8388607
2018-03-23 13:17:02.177653	data	scale1	-88.3 g	8388608
2018-03-23 13:17:06.251703	data	scale1	-88.3 g	8401702
2018-03-23 13:17:10.326405	data	scale1	-88.3 g	8388601
